DM038846121BR,22/07/2014 00:50:00
DM040583446BR,22/07/2014 00:50:39
DG554612778BR,22/07/2014 00:50:43
DM040514176BR,22/07/2014 00:50:48
DM040501795BR,22/07/2014 00:50:55
DM040596541BR,22/07/2014 00:51:08
DM040458810BR,22/07/2014 00:51:32
DG546849018BR,22/07/2014 00:51:34
DM032040712BR,10/07/2014 19:52:50
DM036245963BR,22/07/2014 00:52:10
DM040444665BR,22/07/2014 00:52:26
DG580392094BR,05/08/2014 16:46:43
DM038479657BR,22/07/2014 00:52:48
PD798290048BR,22/07/2014 00:54:12
DM038833278BR,22/07/2014 00:54:28
DM038814781BR,22/07/2014 00:54:33
DM037692962BR,22/07/2014 00:56:00
DM038847952BR,22/07/2014 00:57:34
DM040496680BR,22/07/2014 00:58:15
DG554589819BR,22/07/2014 00:59:27
DM033307482BR,15/07/2014 08:55:37
DM040590331BR,22/07/2014 00:59:33
DM040575847BR,22/07/2014 00:59:51
PD799358237BR,22/07/2014 01:00:16
DG554608141BR,22/07/2014 01:00:49
DM040480282BR,22/07/2014 01:01:18
DM040576710BR,22/07/2014 01:02:15
PD796597445BR,22/07/2014 01:02:21
DM040644556BR,22/07/2014 01:03:13
PD785457291BR,22/07/2014 01:03:24
DG554599705BR,22/07/2014 01:03:54
DM038785816BR,22/07/2014 01:03:56
DM038774597BR,22/07/2014 01:05:44
DM040530457BR,22/07/2014 01:05:51
DM040511268BR,22/07/2014 01:05:54
DM038549715BR,22/07/2014 01:06:58
DM040586059BR,22/07/2014 01:07:24
DM040596087BR,22/07/2014 01:07:34
DM040608559BR,22/07/2014 01:07:46
DM037702727BR,22/07/2014 01:08:43
DM038850917BR,22/07/2014 01:08:55
DM040543169BR,22/07/2014 01:08:56
DM029542100BR,07/07/2014 18:45:54
DM040467604BR,22/07/2014 01:11:00
DM040528776BR,22/07/2014 01:11:25
DM040492895BR,22/07/2014 01:11:46
DM035813552BR,22/07/2014 01:13:03
DM040523867BR,22/07/2014 01:13:14
DM040582882BR,22/07/2014 01:13:53
PD801712485BR,22/07/2014 01:13:54
DG546864298BR,22/07/2014 01:13:56
DM029599815BR,22/07/2014 01:14:51
DM040571575BR,22/07/2014 01:14:55
DM040447043BR,22/07/2014 01:15:26
DM040585362BR,22/07/2014 01:16:48
DM038775120BR,22/07/2014 01:17:55
DM037651680BR,22/07/2014 01:18:10
DM038799934BR,22/07/2014 01:18:42
DM038796601BR,22/07/2014 01:19:14
DG546863346BR,22/07/2014 01:19:26
DM040568316BR,22/07/2014 01:19:43
DM040514967BR,22/07/2014 01:20:33
DM040585963BR,22/07/2014 01:20:47
DM040499363BR,22/07/2014 01:24:50
DM040543288BR,22/07/2014 01:30:29
PD796139348BR,15/07/2014 08:56:40
PD758143829BR,22/07/2014 01:35:13
DM040571200BR,22/07/2014 01:36:00
DM040604490BR,22/07/2014 01:38:12
DG554590471BR,22/07/2014 01:44:53
PD792194658BR,10/07/2014 19:55:26
DM040593182BR,22/07/2014 02:25:27
DM065018990BR,05/08/2014 17:09:53
DM028321901BR,05/08/2014 17:09:57
DM040472003BR,22/07/2014 02:31:05
DM038843275BR,22/07/2014 02:32:59
PD836287885BR,05/08/2014 17:11:16
DM038546250BR,22/07/2014 02:33:19
